image1,image2,dhash,avghash,phash,whash,nrmse,ssim
cat.png,nature-1.png,-1,-1,-1,-1,-1,-1
cat.png,nature-2.png,-1,-1,-1,-1,-1,-1
cityscape.png,nature-1.png,-1,-1,-1,-1,-1,-1
cityscape.png,nature-2.png,-1,-1,-1,-1,-1,-1
nature-1.png,cat.png,-1,-1,-1,-1,-1,-1
nature-1.png,cityscape.png,-1,-1,-1,-1,-1,-1
nature-2.png,cat.png,-1,-1,-1,-1,-1,-1
nature-2.png,cityscape.png,-1,-1,-1,-1,-1,-1
cat.png,cat.png,0,0,0,0,0,0
cityscape.png,cityscape.png,0,0,0,0,0,0
nature-1.png,nature-1.png,0,0,0,0,0,0
nature-2.png,nature-2.png,0,0,0,0,0,0
cat.png,cityscape.png,0.516,0.469,0.469,0.438,0.532,0.4
cityscape.png,cat.png,0.516,0.469,0.469,0.438,0.476,0.4
nature-1.png,nature-2.png,0.562,0.219,0.531,0.188,0.52,0.38
nature-2.png,nature-1.png,0.562,0.219,0.531,0.188,0.45,0.38
